comment,compound,positive,negative,neutral,label
Terima kasih STY yang sudah memberikan pengalaman terbaiknya,0.7184,0.591,0.273,0.136,positive
Thanks STY untuk jasa mu saya rasa ET bukan orang kemarin sore Klo masalah pergantian ada ini itu sah2 saja Berpikir positif ajaAllah memberikan sesuatu terkadang sangat tidak sesuai dengan keinginan tapi itu yang terbaik bagi kita Klo bicara jujur iya STY sudah sangat kena di hati kita Tp kalau secara pribadi dari pertandingan2 kemarin ada sdikit hal konyol sih dari keputusan STY Tp untuk kepribadian STY sangat2 luar biasa,0.926,0.414,0.351,0.234,positive
Coba om budgetin STY masuk podcast langsung pecah ini channel,0.4588,0.389,0.222,0.389,positive
SIAPAPUN COACH NYA DEMI KEBAIKAN TIMNAS GUA DUKUNGGG ASAAALL KEJALAN POSITIF NEGATIF YA GOODBYE,0.8402,0.469,0.25,0.281,positive
Terimakasih sty bagus luck Kluivert kita semua kecewa tapi kita harus move on ayo dukung timnas dan Kluivert,0.9432,0.533,0.222,0.244,positive
Saya tetap dukung timnas Indonesia siapa pun pelatihnya Dukung terus Erick Tohir apapun keputusan yang diambil pastilah untuk kebaikan timnas Indonesia Spt pak Erick bilang timnas bukan proyek individu bukan milik STY bukan milik ET bukan milik PSSI tapi milik bangsa Indonesia Pelatih bisa berganti timnas selalu dihati,0.875,0.416,0.297,0.287,positive
Tq STYsiapapun Pelatihnya mau menang apa kalah tetap support TIMNASdoa yang terbaik buat kalian para pejuang tanah airsemangattt,0.9719,0.621,0.259,0.121,positive
Yg keren dan very respectful dari STY staff adalah sampai saat ini mereka tidak mengeluarkan statement apapun boro2 menjelekkan pembelaan diri pun tidak Luar biasa Itulah mental dan karakter hebat Sementara PSSI bahkan sibuk klarifikasi dan cerita sana sini,-0.9183,0.238,0.376,0.386,negative
Saya juga ingin nya StY stay Tune tapi apa hendak di katasemua sudah terjadi yang penting Garuda Indonesia ke piala Dunia Bravo STY Pak Erick,0.0,0.34,0.298,0.362,neutral
mau gimanapun dapurnya tidak mau banyak komplen ditengahtengah perjuangan timnas saya bakal terus dukung siapapun yang ada didalamnya,0.9001,0.5,0.308,0.192,positive
Ngomong langsung sama ET dan arya donk om Ded hahahahhahah,0.8402,0.5,0.0,0.5,positive
Inilah yang kusuka Oki jujur tidak bisa boong Blak blakan Anak medan memang begini,-0.9325,0.25,0.575,0.175,negative
Anda bertiga saya rasa sudah mewakili apa yang dirasakan mayoritas penggemar bola cukup smart objectif mengedukasi,-0.9823,0.147,0.7,0.153,negative
Saya hanya tukang mancing yang demi timnas libur mancing Cuma mau bilang terima kasih STY Keep strong pak erik Kompak selalu timnas Timnas menang buat lupa masalah rumah tangga Happy saja sudah,0.9231,0.518,0.364,0.118,positive
Om Ded Undang Heriss Skuyy om The King OmeTV,0.4588,0.273,0.0,0.727,positive
Ternyata benar Indonesia Gampang dibuat berita baru Banyak terlupakan kasus diIndonesia karena berita baru kasus SEKJEN PD Koruptor ktutup juga,-0.4588,0.3,0.35,0.35,negative
Bukan tidak boleh digantitp caranya itu lho kyak kita ini negara tidak beradabSTY itu sudah memberi perubahan besar dalam persepakbolaan disinibeliau membangkitkan kembali rasa nasionalisme yang kntal disinibahkan anak2 kcil ibu2 yang t paham bolapun mencintai beliau dan menangisi kepergiannya masih adakah orang disini yang dicintai sperti itu,-0.9682,0.269,0.442,0.288,negative
KITA SEBAGAI WARGA NEGARA INDONESIA HARUS SALING DUKUNG DEMI KEMAJUAN TIMNAS INDONESIA UNTUK BISA MASUK SEJARAH KE PILDUN 2026 KITA SEBAGAI SUPORTER CUMA BISA DUKUNG DAN MENDOAKAN TIMNAS INDONESIA YANG TERBAIK MAU PELATIH SIAPAPUN ITU JIKA HASILNYA TIDAK SESUAI KEINGINAN KITA MAU BAGAI MANA LAGI UDAH SIH BRO DUKUNG SAJA BRAVO TIMNAS INDONESIA,0.0688,0.374,0.379,0.247,positive
Sty tetap the best,0.8481,0.804,0.0,0.196,positive
Pelatih pengurus pemain bisa datang dan pergi kapan saja tapi timnas harus tetap ada dan terus maju Dinamika akan selalu ada profesional dan kontra pasti terjadi Tetapi mesti berpikir positif tentang pergantian pelatih kali ini PSSI pasti punya alasan kuat melakukan ini seperti kata pak ET bahwa STY sudah berjasa untuk timnas jadi tidak perlu semua alasan harus diungkapkan yang mungkin akan menyakiti hati STY Selamat jalan STY dan selamat datang PK maju terus timnas Garuda,0.975,0.46,0.328,0.212,positive
Apapun yang sudah diputuskan dan diharapkan semoga Indonesia selalu Merdeka jaya sejaya jaya nya INDONESIA MERDEKA,0.8402,0.438,0.188,0.375,positive
Di balik orng yang banyak berkomentar setidaknya cuma pak erick yang tahu dapur nya Timnas dukung saja timnas skrng dan lihat nanti di bulan maret pembuktian nya semoga masuk piala dunia,-0.9325,0.282,0.465,0.254,negative
Konten paling malas om dedy salah panggil bintang tamu,-0.9186,0.0,0.667,0.333,negative
Siapapun pelatihnya mari doakan semoga timnas kita makin solid semoga lolos ke piala dunia,0.6808,0.453,0.195,0.352,positive
STY akan menjadi legenda sepak bola indinesia dia membawa kedewasaan dalam sepak bola kita bukan hanya pemain bahkan suporter kita juga sudah berubah lebih dewasa dan mental kita lebih baik cinta you STY,0.25,0.386,0.343,0.271,positive
Jika dengan pelatih baru ini indonesia bisa lolos piala dunia jangan pernah lupakan jasa shin tae yong yang sudah meraih 6 point dan back to back lolos afc senior,-0.9432,0.27,0.46,0.27,negative
Keren om dedSTY stay,0.0,0.0,0.0,1.0,neutral
Saya percaya penuh sama Pak Ketum ET Sejauh ini pun kebijakan2 dan keputusan2 yang diambil masih sesuai dengan visi misi beliau untuk pesepakbolaan Indonesia Ada yang populis ada yang tidak Tapi semua demi kebaikan dan perbaikan Ini negara demokrasi silakan beropini dan menyampaikan aspirasi Tapi ingat jangan toxic apalagi anarkis Dan tetap dukung Timnas Garuda karena mereka yang berjuang membawa nama Indonesia,-0.4588,0.364,0.357,0.279,negative
Tetap support Timnas siapapun pelatihnya,0.875,0.75,0.0,0.25,positive
mau siapapun pelatihnya saya tetap pendukung timnasdan saya percaya bp ERICK TOHIRPELATIH SAAT INI BESERTA ASISTEN DAN JAJARANYA SERTA PARA PEMAIN TIMNAS KITABRAVO GARUDA,0.9291,0.479,0.239,0.282,positive
sedih banget om ded sty out belum selesai kualivikasi piala dunia,-0.25,0.35,0.3,0.35,negative
Satu hal yang menurut saya kurang ditekankan dari banyak pundit atau influencer bola adalah bahwa Segala dinamika atau konflik yang terjadi di ruang ganti pure benarbenar terjadi hanya karena PERBEDAAN BUDAYA jadi tidak ada yang salah baik dari pihak pemain ataupun pelatih Kita tidak bisa memaksakan STY dengan kultur asia yang keras melunak untuk mendengarkan pemain dan kita tidak bisa menyalahkan para pemain diaspora dengan kultur eropanya yang terbuka untuk nurut 100 dan tidak menginterfensi STY sebagai pelatih Tidak perlulah netizen membuat narasi bahwa STY bersalah atau menyerang pemain yang sedang fokus dengan klubnya saat ini terutama karena ada bola panas nama Mees yang sering disebut sehingga banyak netizen dongo yang main serangserang saja Tambahan pesan Ayolah sebagai pendukung timnas tidak perlu teriak teriak dimana mana biarkan timnas dan pelatih baru nantinya berjalan Biarkan pertanyaan layak tidaknya pengganti STY nanti dijawab dari hasil dilapangan,-0.9973,0.326,0.483,0.192,negative
Coach STY itu sangat melekat di hati masyarakat terkhusus penggemar Sepak bola Memang sangat disayangkan STY diberhentikan di waktu yang penting,0.25,0.4,0.36,0.24,positive
podcast selesai di menit 601,0.4588,0.429,0.0,0.571,positive
Lihat podcast nya di LIPUTAN 6 ada pak eric yang menjelaskan dan ada coach justin yang menerangkan perihal pelatih baru dan kondisi pertandingan dan analida Mereka lebih paham,0.9141,0.444,0.215,0.341,positive
Terimakasih shin tae yong Dan apapun keputusan pssi saya Hormati timnas Indonesia lebih dari siapapun Saya akan tetap nonton timnas seperti biasanya,-0.25,0.347,0.388,0.265,negative
Salut buat pak ET berani mengambil keputusan yang beresiko tidak populer demi menyelamatkan timnas dari pepecahan karena kalau dilanjutkan beresiko thdp kekompakan timnas,-0.875,0.26,0.44,0.3,negative
Dukung timnas jangan menjatuhkan,-0.6124,0.333,0.6,0.067,negative
percayakan dukung full p Erick yang sudah kerja keras tegas profesional meski ada banyak tekanan sudah terbukti pssi bisa berkembang bertahap mendunia dengan program dan semua pasti hasil evaluasi yang berkelanjutan,0.9325,0.487,0.303,0.211,positive
Justru mempertahannya STY itu riskankarena inie momentnya kita bisa lolos piala duniamaka harus ganti yang lebih kompeten,-0.9517,0.162,0.541,0.297,negative
Yang buat sedih kemana adab kita sebagai orang timur kok bahkan seperti netizen asal pak Styyang tidak tahu terimakasihsejauh ini dia sudah berusaha keras kok,-0.9001,0.311,0.459,0.23,negative
Kalo berat kita semua berat tapi saya rasa kita ini harus profesional juga kita tetap harus berfikir positif terhadap pssi Jgn kita lihat dari salah satu sudut pandang saja Saya rasa semua keputusan ini sudah di pikir matang2 Kita cinta sty tapi hars lbh cinta timnasayo dukung timnas,-0.7184,0.371,0.405,0.224,negative
Mana like nya yang siapapun pelatih timnas tetap dukung timnas,0.8591,0.585,0.226,0.189,positive
tidak semudah itu mengganti pelatih semua itu butuh proses baik dalalam beradaptasi dan gaya bermain Timnas Indonesia,-0.9325,0.244,0.537,0.22,negative
STY jasanya tidak akan hilang di hati Rakyat sekarang waktunya move on dengan Pelatih Baru yang telah di tentukan federasi demi TimNas,0.25,0.349,0.279,0.372,positive
Apapun yang terjadi tetap bela timnas dan thank kamu STY,0.7906,0.52,0.24,0.24,positive
Coach STY yang dibrhntikannya kok kita yang sedih dn kecewanya iya saya juga tidak ngrti dn tidak tertarik bola tapi sangat respect dng Coach Shin yang totalitas membawa negri kita semelambung itu bner kata Om Ded STY brhasil membawa kita ke mimpi yang bahkan kita tidak brmimpi Thank U so lebih Coach STY We R Respectfully on U,-0.9915,0.199,0.485,0.315,negative
Bening ini disiniisering2 lah om ded podcas sama orang 2 ini karena saya yakin ini masalah masih panjang meskipun ditutup2i sedemikian rupa,-0.7906,0.312,0.438,0.25,negative
dari Pelatih ganteng berwibawa sampai Pemain ganteng2 keren2 yapp inilah era Timnas di masa STY Terima kasih Coach Wish U All the best,0.9678,0.591,0.164,0.245,positive
awalnya agak shock dan ada rasa kecewa sama keputusan pak ET tapi balik lagi apapun keputusan beliau saat ini pasti sudah mempertimbangkan banyak hal sebagai penikmat sepakbola Indonesia terkhusus Timnas siapapun pelatihnya semoga membawa perkembangan yang lebih baik lagi Thank you coach Shin Tae Yong,0.8555,0.422,0.343,0.235,positive
Yang paling menyedihkan dari semua proses yang sudah berjalan sejauh ini adalah penggemar sepak bola di negara wakanda ini yang masi kekanak2antdk dewasa sbagian sekedar fomoikut2an taunya cuma hujat nyinyir dan hal negatif lainnya Lelah banget lihat komen2 negatif so come on Lah Mari dukung saja dulu kita bisa koreksievaluasi PSSI nanti pada waktunya,-0.9891,0.242,0.492,0.266,negative
Maaf pak dedy nyimpang dari topikmau nanyak bisakah ngilangin pobia saya yang takut naik pesawattrauma,-0.875,0.233,0.467,0.3,negative
Percaya Mimpi perlu perjuangan dan pengorbanan Insyaallah Pk ET berjuang untuk Itu FOKUS KITA DUKUNG TIMNAS,0.966,0.652,0.087,0.261,positive
Jika komunikasi sudah bermasalah maka memang harus ada perombakan Saya setuju saja sama ET karena dia memang sudah memikirkan dengan matang Cukup support dan doakan karena ET melakukan ini demi MIMPI INDONESIA LOLOS PIALA DUNIA,0.5766,0.45,0.404,0.145,positive
Ikut komen Respect buat coach STY setingginya atas semua yang sudah dibangun dan sangat luar biasa dilihat dari alasan pemecatan bukan mendadak tapi sudah melalui proses evaluasi panjang sejak pertandingan sebelumnya Sah saja orang meiliki opini berbeda tapi Satu hal buat semua pecinta bola Indonesia bersatulah demi kemajuan sepak bola bukan terlalu bnyak omon Timnas selamanya pelatih sementara jngan lupakan itu Pemain timnas itu pemain professional dimana mereka harus bisa adaptasi disetiap pertandingan dngan berbagai hal termasuk pelatih baru dan pemain baru Dukung saja mental pemain agar sesuai yang penonton harapkan Salam bola itu bundar Timnas bukan klub jayalah Indonesiaku,-0.9955,0.269,0.484,0.247,negative
apapun langkah PSSI dan pak ET kedepan kita harus support dan semoga saja bisa lolos ke piala dunia dari round 3 qualifier ini,-0.8402,0.261,0.413,0.326,negative
SIAPAPUN PELATIHNYA WAJIB KITA DUKUNG TIMNAS,0.4588,0.417,0.25,0.333,positive
Apapun yang terjadi tetap support timnas tanpa perlu menjatuhkan dan menyerang STY Coach STY dari awal melatih sampai selesai selalu mendapatkan serangan tanpa pernah sedikitpun STY membalasnya dan STY tidak pernah sedikitpun menjelekjelekan orang orang di Indonesia,-0.7906,0.321,0.372,0.308,negative
Lihat saja masa suram akan kembali lagi Terima sty telah membuat sejarah Indonesia,-0.7906,0.3,0.467,0.233,negative
Pak Eric goreng sty sudah mateng saatnya dijual sekarang gantian goreng PK invest murah gorengan mateng harga naik lepas di pasar lagi,0.875,0.462,0.179,0.359,positive
Yang pasti STY sudah memberikan nilai yang sangat besar terhadap Kemajuan Timnas Semoga Pelatih berikutnya bisa membuat Timnas lebih bersinar lagi,0.9638,0.59,0.262,0.148,positive
Utk membawa timnas menuju level yang sekarang memang STY the bestMudah2n Patrick bisa membawa Garuda ke level yang LBH tinggi lagi tetap dukung timnas,-0.6124,0.327,0.382,0.291,negative
Nyoceh sana sini hujat sana sininurut kmi itu GK pentingjadilah warga yang baik apapun keputusan PK Erikkita dukung sepenuhnya klok msalh Qus stytetap di hati kamiyg terbaek di timnas kitayg setuju jempolnya SALM dari Jawa Timur,-0.25,0.31,0.324,0.366,negative
Saya pendukung timnas dan PSSI era BPK ETsaya selalu berpikir realistis karena saya suka sepakbola dan semua apa yang didebatkan terjawab saat interview dengan BPK ET Hidup timnas dan PSSI era Bpk ET,-0.875,0.258,0.394,0.348,negative
Team tetap suport timnas siapapun pelatihnya,0.7184,0.6,0.0,0.4,positive
setuju bang sty sudah membawa sepak bola indonesia bagus,0.8402,0.571,0.19,0.238,positive
Intinya selagi masih ada mafia berkeliaran di indonesia persepak bolaan Indonesia tidak akan benar mau menyimpulkan alesanyg berteletele tetep saja pemenang nya si mafia TERIMA KASIH coach Shin tae Yong semoga sukses di negaralainnya,-0.3682,0.366,0.373,0.261,negative
tipikal indonesia dari dulu itu adalah kalau sudah nemu pemimpin yang bagus dan indonesia sudah mulai ada peningkatan kualitas pasti pemimpinnya langsung di ganti dari segala aspek,0.875,0.486,0.361,0.153,positive
Kalo saya jadi anak STY harus berpikir 2 kali untuk buat statemen seperti itu iya di wktu lampau bahkan dinegaranya sendiri STY tidak dihormati anaknya tidak buat argument apapun anak STY sharusnya lebih berpikir lebih positif lah bahwa sekalipun ayahnya STY dipecat dia tetap dicintai kok sama rakyat Indonesia itu sesuatu yang bisa di bilang spesial dan menciptakan sejarah di negara lain sampai menjadi pelatih terfavorit setiap sehabis laga usai namanya di ucap sampai menggema di stadion beda jauh lah di negaranya sendiri di hina di caci dillempar telur sampai kena tekanan mental sekeluarga,-0.9964,0.224,0.496,0.279,negative
Apapun masalah yang terjadi dibalik itu semua ada batasan yang kita tidak harus tahu Itu sama saja dengan aib yang di sebarluaskan Tetap dukung timnas dan tetap dukung semuanya Terima kasih coach Shin sudah membuat garuda terbang tinggi Semangat untuk pak Erick membangun sepakbola negri ini,0.4588,0.457,0.413,0.13,positive
Hallo mas deddy semoga sehat selalu Jangan lupa pada mampir iya,0.7906,0.536,0.286,0.179,positive
JAYALAH NKRISAATNYA PLAT K KUDUS SEKITARNYA MASUK TEAMNAS BUAT GUNCANG DUNIA,0.0,0.409,0.364,0.227,neutral
Sekarang kita move on dukung Timnas lagi seperti sebelum2nya Terima kasih kepada STY dan selamat bekerja kepada Kluivert Hentikan narasi2 toxic seperti ingin Timnas kalah karena dendam kepada PSSI atas pemecatan STY menyerang pemain Timnas yang tidak mengucapkan farewell kepada STY dan yang tidak mau nonton Timnas lagi karena pelatihnya bukan STY We move on Timnas above all,-0.9939,0.2,0.533,0.267,negative
Jangan digoreng terus jangan di adu domba jadilah komentator dengan vibes positif yang penting dukung terus timnas Indonesia karena bukti kita cinta tanah air dan bangsa,-0.9325,0.281,0.5,0.219,negative
Logika wae iya Bg Dedi Bicara nyata Logika Hero Rakyat 75Masih cinta STY,0.9274,0.558,0.0,0.442,positive
Berkat STY Team Garuda dapat berlaga Merumput Disegani Dunia Internasional,0.25,0.474,0.263,0.263,positive
gencarnya budaya korea yang mendunia beberapa tahun terakhir telah merubah pola pikir dan kecintaan netizen sekarg trhadap koreahingga apapun yang berbau koreanamun tidak bisa di pungkiri STY telah mmbawa timnas hingga ke titik ini,-0.975,0.102,0.441,0.458,negative
Kita percaya kan sama federasi dan pak Erik Ku yakin ini keputusan yang terbaik untuk pemuja sty kalian semoga sadar dan mengerti iya ini demi kebaikan timnas kita agar lebih baik lagi Ayo Garuda Indonesia terbang tinggi lagi,0.9882,0.577,0.227,0.196,positive
Jangan memperkeruh suasana suguhkan konten bernuansa edukasi bukan profokasi jangan memanfaatkan suasana panas demi konten Pemain pelatih keluar masuk sudah biasa dalam sepakbola ingat saat luis mila keluar sty masuk bagaimana reaksinya tidak ada yang mau nerimasemua menyayangkan kepergian luis mila tapi TIMNAS tetaplah TIMNAS yang harus tetap terbang tinggi siapapun pemain dan pelatihnya begitu pula saat inipro kontra keluarnya STY membelah persatuan suporter TIMNAS Marilah satukan dukungan rapatkan barisan jangan terpecah belah demi kemajuan TIMNAS INDONESIA demi Indonesia bisa masuk PIALA DUNIA siapapun pemain pelatihnya yang membawa lambang negara kita patut kita dukung penuhkrn mereka membawa nama bangsa dan negara Indonesia BRAVO TIMNAS INDONESIA,-0.9822,0.311,0.41,0.279,negative
